2024-02-21 00:51:06.285218
E:\Geometric_Weighted_UDF\train_udf.py
epoch: 117 total loss: 0.0006531, udf loss: 0.0006531, surface udf loss: nan
epoch: 118 total loss: 0.0006532, udf loss: 0.0006532, surface udf loss: nan
epoch: 119 total loss: 0.0006532, udf loss: 0.0006532, surface udf loss: nan
epoch: 120 total loss: 0.0006537, udf loss: 0.0006537, surface udf loss: nan
epoch: 121 total loss: 0.0006538, udf loss: 0.0006538, surface udf loss: nan
epoch: 122 total loss: 0.0006530, udf loss: 0.0006530, surface udf loss: nan
epoch: 123 total loss: 0.0006525, udf loss: 0.0006525, surface udf loss: nan
epoch: 124 total loss: 0.0006523, udf loss: 0.0006523, surface udf loss: nan
epoch: 125 total loss: 0.0006510, udf loss: 0.0006510, surface udf loss: nan
epoch: 126 total loss: 0.0006542, udf loss: 0.0006542, surface udf loss: nan
epoch: 127 total loss: 0.0006511, udf loss: 0.0006511, surface udf loss: nan
epoch: 128 total loss: 0.0006518, udf loss: 0.0006518, surface udf loss: nan
epoch: 129 total loss: 0.0006498, udf loss: 0.0006498, surface udf loss: nan
epoch: 130 total loss: 0.0006509, udf loss: 0.0006509, surface udf loss: nan
epoch: 131 total loss: 0.0006499, udf loss: 0.0006499, surface udf loss: nan
epoch: 132 total loss: 0.0006485, udf loss: 0.0006485, surface udf loss: nan
epoch: 133 total loss: 0.0006487, udf loss: 0.0006487, surface udf loss: nan
epoch: 134 total loss: 0.0006491, udf loss: 0.0006491, surface udf loss: nan
epoch: 135 total loss: 0.0006480, udf loss: 0.0006480, surface udf loss: nan
epoch: 136 total loss: 0.0006468, udf loss: 0.0006468, surface udf loss: nan
epoch: 137 total loss: 0.0006470, udf loss: 0.0006470, surface udf loss: nan
epoch: 138 total loss: 0.0006452, udf loss: 0.0006452, surface udf loss: nan
epoch: 139 total loss: 0.0006466, udf loss: 0.0006466, surface udf loss: nan
epoch: 140 total loss: 0.0006473, udf loss: 0.0006473, surface udf loss: nan
epoch: 141 total loss: 0.0006461, udf loss: 0.0006461, surface udf loss: nan
epoch: 142 total loss: 0.0006461, udf loss: 0.0006461, surface udf loss: nan
epoch: 143 total loss: 0.0006448, udf loss: 0.0006448, surface udf loss: nan
epoch: 144 total loss: 0.0006455, udf loss: 0.0006455, surface udf loss: nan
epoch: 145 total loss: 0.0006456, udf loss: 0.0006456, surface udf loss: nan
epoch: 146 total loss: 0.0006454, udf loss: 0.0006454, surface udf loss: nan
epoch: 147 total loss: 0.0006457, udf loss: 0.0006457, surface udf loss: nan
epoch: 148 total loss: 0.0006439, udf loss: 0.0006439, surface udf loss: nan
epoch: 149 total loss: 0.0006438, udf loss: 0.0006438, surface udf loss: nan
epoch: 150 total loss: 0.0006459, udf loss: 0.0006459, surface udf loss: nan
epoch: 151 total loss: 0.0006430, udf loss: 0.0006430, surface udf loss: nan
epoch: 152 total loss: 0.0006441, udf loss: 0.0006441, surface udf loss: nan
epoch: 153 total loss: 0.0006444, udf loss: 0.0006444, surface udf loss: nan
epoch: 154 total loss: 0.0006461, udf loss: 0.0006461, surface udf loss: nan
epoch: 155 total loss: 0.0006451, udf loss: 0.0006451, surface udf loss: nan
epoch: 156 total loss: 0.0006464, udf loss: 0.0006464, surface udf loss: nan
epoch: 157 total loss: 0.0006460, udf loss: 0.0006460, surface udf loss: nan
epoch: 158 total loss: 0.0006450, udf loss: 0.0006450, surface udf loss: nan
epoch: 159 total loss: 0.0006441, udf loss: 0.0006441, surface udf loss: nan
epoch: 160 total loss: 0.0006450, udf loss: 0.0006450, surface udf loss: nan
epoch: 161 total loss: 0.0006423, udf loss: 0.0006423, surface udf loss: nan
epoch: 162 total loss: 0.0006454, udf loss: 0.0006454, surface udf loss: nan
epoch: 163 total loss: 0.0006427, udf loss: 0.0006427, surface udf loss: nan
epoch: 164 total loss: 0.0006445, udf loss: 0.0006445, surface udf loss: nan
epoch: 165 total loss: 0.0006444, udf loss: 0.0006444, surface udf loss: nan
epoch: 166 total loss: 0.0006429, udf loss: 0.0006429, surface udf loss: nan
epoch: 167 total loss: 0.0006458, udf loss: 0.0006458, surface udf loss: nan
epoch: 168 total loss: 0.0006440, udf loss: 0.0006440, surface udf loss: nan
epoch: 169 total loss: 0.0006441, udf loss: 0.0006441, surface udf loss: nan
epoch: 170 total loss: 0.0006413, udf loss: 0.0006413, surface udf loss: nan
epoch: 171 total loss: 0.0006425, udf loss: 0.0006425, surface udf loss: nan
epoch: 172 total loss: 0.0006430, udf loss: 0.0006430, surface udf loss: nan
epoch: 173 total loss: 0.0006410, udf loss: 0.0006410, surface udf loss: nan
epoch: 174 total loss: 0.0006409, udf loss: 0.0006409, surface udf loss: nan
epoch: 175 total loss: 0.0006425, udf loss: 0.0006425, surface udf loss: nan
epoch: 176 total loss: 0.0006396, udf loss: 0.0006396, surface udf loss: nan
epoch: 177 total loss: 0.0006383, udf loss: 0.0006383, surface udf loss: nan
epoch: 178 total loss: 0.0006406, udf loss: 0.0006406, surface udf loss: nan
epoch: 179 total loss: 0.0006428, udf loss: 0.0006428, surface udf loss: nan
epoch: 180 total loss: 0.0006394, udf loss: 0.0006394, surface udf loss: nan
epoch: 181 total loss: 0.0006419, udf loss: 0.0006419, surface udf loss: nan
epoch: 182 total loss: 0.0006415, udf loss: 0.0006415, surface udf loss: nan
epoch: 183 total loss: 0.0006440, udf loss: 0.0006440, surface udf loss: nan
epoch: 184 total loss: 0.0006427, udf loss: 0.0006427, surface udf loss: nan
epoch: 185 total loss: 0.0006416, udf loss: 0.0006416, surface udf loss: nan
epoch: 186 total loss: 0.0006415, udf loss: 0.0006415, surface udf loss: nan
epoch: 187 total loss: 0.0006392, udf loss: 0.0006392, surface udf loss: nan
epoch: 188 total loss: 0.0006408, udf loss: 0.0006408, surface udf loss: nan
epoch: 189 total loss: 0.0006406, udf loss: 0.0006406, surface udf loss: nan
epoch: 190 total loss: 0.0006402, udf loss: 0.0006402, surface udf loss: nan
epoch: 191 total loss: 0.0006380, udf loss: 0.0006380, surface udf loss: nan
epoch: 192 total loss: 0.0006407, udf loss: 0.0006407, surface udf loss: nan
epoch: 193 total loss: 0.0006414, udf loss: 0.0006414, surface udf loss: nan
epoch: 194 total loss: 0.0006394, udf loss: 0.0006394, surface udf loss: nan
epoch: 195 total loss: 0.0006410, udf loss: 0.0006410, surface udf loss: nan
epoch: 196 total loss: 0.0006423, udf loss: 0.0006423, surface udf loss: nan
epoch: 197 total loss: 0.0006406, udf loss: 0.0006406, surface udf loss: nan
epoch: 198 total loss: 0.0006407, udf loss: 0.0006407, surface udf loss: nan
epoch: 199 total loss: 0.0006399, udf loss: 0.0006399, surface udf loss: nan
epoch: 200 total loss: 0.0006433, udf loss: 0.0006433, surface udf loss: nan
epoch: 201 total loss: 0.0006396, udf loss: 0.0006396, surface udf loss: nan
epoch: 202 total loss: 0.0006410, udf loss: 0.0006410, surface udf loss: nan
epoch: 203 total loss: 0.0006375, udf loss: 0.0006375, surface udf loss: nan
epoch: 204 total loss: 0.0006392, udf loss: 0.0006392, surface udf loss: nan
epoch: 205 total loss: 0.0006372, udf loss: 0.0006372, surface udf loss: nan
epoch: 206 total loss: 0.0006381, udf loss: 0.0006381, surface udf loss: nan
epoch: 207 total loss: 0.0006391, udf loss: 0.0006391, surface udf loss: nan
epoch: 208 total loss: 0.0006373, udf loss: 0.0006373, surface udf loss: nan
epoch: 209 total loss: 0.0006389, udf loss: 0.0006389, surface udf loss: nan
epoch: 210 total loss: 0.0006395, udf loss: 0.0006395, surface udf loss: nan
epoch: 211 total loss: 0.0006380, udf loss: 0.0006380, surface udf loss: nan
epoch: 212 total loss: 0.0006387, udf loss: 0.0006387, surface udf loss: nan
epoch: 213 total loss: 0.0006399, udf loss: 0.0006399, surface udf loss: nan
epoch: 214 total loss: 0.0006379, udf loss: 0.0006379, surface udf loss: nan
epoch: 215 total loss: 0.0006394, udf loss: 0.0006394, surface udf loss: nan
epoch: 216 total loss: 0.0006370, udf loss: 0.0006370, surface udf loss: nan
epoch: 217 total loss: 0.0006373, udf loss: 0.0006373, surface udf loss: nan
epoch: 218 total loss: 0.0006376, udf loss: 0.0006376, surface udf loss: nan
epoch: 219 total loss: 0.0006373, udf loss: 0.0006373, surface udf loss: nan
epoch: 220 total loss: 0.0006355, udf loss: 0.0006355, surface udf loss: nan
epoch: 221 total loss: 0.0006375, udf loss: 0.0006375, surface udf loss: nan
epoch: 222 total loss: 0.0006366, udf loss: 0.0006366, surface udf loss: nan
epoch: 223 total loss: 0.0006362, udf loss: 0.0006362, surface udf loss: nan
epoch: 224 total loss: 0.0006352, udf loss: 0.0006352, surface udf loss: nan
epoch: 225 total loss: 0.0006357, udf loss: 0.0006357, surface udf loss: nan
epoch: 226 total loss: 0.0006357, udf loss: 0.0006357, surface udf loss: nan
epoch: 227 total loss: 0.0006354, udf loss: 0.0006354, surface udf loss: nan
epoch: 228 total loss: 0.0006349, udf loss: 0.0006349, surface udf loss: nan
epoch: 229 total loss: 0.0006355, udf loss: 0.0006355, surface udf loss: nan
epoch: 230 total loss: 0.0006340, udf loss: 0.0006340, surface udf loss: nan
epoch: 231 total loss: 0.0006339, udf loss: 0.0006339, surface udf loss: nan
epoch: 232 total loss: 0.0006359, udf loss: 0.0006359, surface udf loss: nan
epoch: 233 total loss: 0.0006328, udf loss: 0.0006328, surface udf loss: nan
epoch: 234 total loss: 0.0006334, udf loss: 0.0006334, surface udf loss: nan
epoch: 235 total loss: 0.0006337, udf loss: 0.0006337, surface udf loss: nan
epoch: 236 total loss: 0.0006330, udf loss: 0.0006330, surface udf loss: nan
